anch,pos,neg
"But, equally, we will not hesitate to withdraw our support financially or otherwise should steps be taken which do not correspond to the openness promised by Commission President Romano Prodi prior to his nomination.","Doch gleichzeitig werden wir nicht zögern, unsere finanzielle oder sonstige Unterstützung zurückzuziehen, wenn Schritte unternommen werden sollten, die der von Kommissionspräsident Romano Prodi vor seiner Nominierung zugesagten Transparenz zuwiderlaufen sollten.","Daß die Steueroasen sehr, sehr oft nichts anderes sind als Festplattenspeicher großer europäischer Banken hierzulande, sollte man nicht ignorieren."
"I end by stressing the need for the European Union to persist with such initiatives, which strive to eliminate inequalities between our regions, and to foster their harmonious development.","Schließlich verweise ich noch darauf, daß die Europäische Union konsequent an solchen Initiativen, die auf die Beseitigung der Ungleichgewichte zwischen unseren Regionen und auf ihre harmonische Entwicklung abzielen, festhalten muß.","Das Parlament fordert hier erneut eine Verbesserung und eine grenzüberschreitende Zusammenarbeit, und wir erwarten, daß ein gemeinsamer Fonds gebildet wird und daß die Verordnung in Zusammenarbeit mit den anderen Kommissaren nochmal geändert wird."
It is the posts which should possibly be made permanent and not necessarily those employed on a temporary basis.,"Es geht darum, die Stellen in feste Stellen umzuwandeln und nicht darum, Personen, die zur Zeit befristete Stellen innehaben, eine Festanstellung zu sichern.",Wir beglückwünschen Sie.
"In my opinion, such a far-reaching scorched earth policy is really unnecessary.",Eine solch weitgehende Taktik der verbrannten Erde halte ich nicht unbedingt für notwendig.,"Wie sollten wir uns mit diesem Problem nicht etwa auseinandergesetzt haben: wir haben uns sehr wohl damit befaßt, und auch dank der von Ihnen dargelegten Besorgnisse wird es derzeit sehr sorgfältig von uns geprüft."
"However, there must be an appropriate level of supervision on the political side.",Aber auf der politischen Seite muß die Kontrolle entsprechend hergestellt werden.,Bereits im September wurde mir für Januar ein niederländisches Programm zugesagt.
Expansion of the agenda and drastic revision of the treaties would bring with it a risk of de-stabilisation.,Eine Ausweitung der Tagesordnung und globale Revision der Vertragsbestimmungen birgt die Gefahr einer Destabilisierung.,"Im übrigen wird es nun wirklich langsam Zeit, die Programme umzusetzen, und insofern müssen auch die Mitgliedstaaten ihrer Verantwortung nachkommen und ihre Hausaufgaben machen."
It must also be possible to a considerable extent for social measures to receive support under INTERREG III.,"Es ist notwendig, daß im Rahmen von INTERREG III in beträchtlichem Umfang auch soziale Maßnahmen gefördert werden können.","Das ist zwar eine deutliche Antwort, doch möchte ich darauf hinweisen, daß für die dänischen Organisationen, die dänische Regierung und das dänische Parlament eine politisch sehr schwierige Situation entsteht. Bekanntlich gibt es grundlegende Unterschiede zwischen dem dänischen System, das weitgehend auf kollektiven Tarifvereinbarungen beruht, und dem kontinentalen System, das sich auf Rechtsvorschriften stützt."
"What I do see right across Europe is people drinking Coca Cola, eating hamburgers, wearing baseball caps, watching Hollywood films and often doing all this at the same time.","In ganz Europa sehe ich Menschen, die Coca Cola trinken, Hamburger essen, Baseballmützen tragen, Hollywoodfilme sehen, manchmal sogar all dies gleichzeitig.",Anfrage Nr. 35 von (H-0778/99):
"Therefore, on behalf of my group, I would like to say that we support the Theato report; I nevertheless think that this is essentially a subject that should be included on the IGC agenda.","Im Namen meiner Fraktion begrüße ich also den Bericht Theato, in dem es jedoch im wesentlichen um ein Thema geht, das meines Erachtens auf die Tagesordnung der Regierungskonferenz gesetzt werden sollte.","In diesem Geist möchte ich nunmehr einige kritische Bemerkungen zu drei Punkten machen, die unserer Meinung nach berücksichtigt werden müssen, wenn wir wirklich, nicht nur mit Worten, sondern mit Taten ""das neue Europa gestalten "" wollen, wie es in dem anspruchsvollen Titel des Kommissionsdokuments und der Rede von Romano Prodi heißt."
Parliament has frequently made that point.,Dies ist vom Parlament schon mehrmals angesprochen worden.,"Frau Präsidentin, ich möchte Herrn Poettering für das Rühren der Werbetrommel zugunsten dieser Aussprache danken."
