anch,pos,neg
This does not involve the concerns about the future of the Atlantic Arc but rather the need to integrate the principle of maritime borders into strand A on cross-border cooperation.,"No se trata de volver sobre las inquietudes relativas al futuro del Arco Atlántico, sino sobre la necesidad de integrar el principio de las fronteras marítimas en el apartado A relativo a la cooperación transfronteriza.","A la espera de que se produzca, de acuerdo con muchos colegas que me lo han pedido, pido que hagamos un minuto de silencio en memoria de todas las víctimas de las tormentas, en los distintos países de la Unión Europea afectados."
Some say that it is the worst accident that has ever befallen the bird life of this part of Europe.,Hay quien dice que es el peor accidente que haya sucedido jamás a la vida de las aves de esta parte de Europa.,No obstante quisiera indicar que esto es fatal precisamente aquí.
"Mr President, in the course of the last few years there has been a succession of serious tanker disasters world-wide and the countermeasures taken have either been ineffective or not worth mentioning.","Señor Presidente, en los últimos años los petroleros han causado repetidas catástrofes en todo el mundo sin que se hayan adoptado medidas apreciables o eficaces para evitarlas.",Pregunta nº 5 formulada por (H-0785/99):
"If this 'feedback' mechanism, which gives users the opportunity to make choices, were hampered by measures such as the Tobin tax, mistaken decisions might be made that turned out to be so costly in terms of the economic consequences that the tax would never be able to make up for it.","Si mediante instrumentos similares al impuesto Tobin dificultásemos el funcionamiento de este mecanismo ' feed back' de interconexión, el cual concede al usuario la posibilidad de elegir, podríamos cometer errores cuyas consecuencias económicas saldrían tan caras, que los fondos recaudados mediante el impuesto no podrían nunca cubrir esas pérdidas.",Es necesario extraer consecuencias y decir que entonces tenemos que comunitarizar organizativa y legalmente los instrumentos.
"He is absolutely right to say that a Union which talks about conflict prevention should be looking at what it can do in these particular areas to ensure that there is not the sort of conflict in the future which has caused so much devastation in the Balkans and which has cost us a great deal more than we might have had to spend otherwise, had we taken more pre-emptive measures if those had been possible.","Tiene toda la razón al afirmar que una Unión que habla de prevención de conflictos tendría que ver qué puede hacer en estas áreas concretas para garantizar que en el futuro no haya el tipo de conflicto que tanta devastación ha causado en los Balcanes y que nos ha costado muchísimo más de lo que habríamos podido gastar de otro modo, si hubiéramos tomado más medidas preventivas de haber sido posible.","De este modo la tan cacareada necesidad de transparencia en el uso de estos fondos y la tentación de recurrir innecesariamente lo más tarde posible a la base tributaria local en las zonas donde esos proyectos se desarrollan disminuirán, y el Parlamento Europeo mostrará que se toma con seriedad la necesidad de esa reforma."
"The European Union did that at the European Union­China Summit in Peking last month where we pressed the Chinese on a number of human rights issues, including Tibet.","Así lo hizo la Unión Europea en la Cumbre Unión Europea-China de Pekín del mes pasado, en la que hicimos presión ante los chinos en varias cuestiones de derechos humanos, entre ellas la del Tíbet.",¿Qué otras medidas prácticas piensa adoptar para que cese la limpieza étnica?
"Nonetheless, the French delegation in our group was unable to accept the fact that the Commission and the federalist faction have diverted the INTERREG initiative from its original purpose in order to detract still further from the political role of the nations.","No obstante, la delegación francesa de nuestro Grupo no podría aceptar que la iniciativa INTERREG sea desviada de su misión, por la Comisión y el clan federalista, a fin de desdibujar un poco más el papel político de las naciones.","A mi Grupo le parece estupendo si con ello se consigue superar las diferencias con regiones, ciudades y grupos de población más desfavorecidos o si se mejoran las condiciones de salud y el entorno vital."
These are the values which we ask of others who seek to join us.,Estos son los valores que les exigimos a otros que se quieren unir a nosotros.,"Señorías, se trata de un compromiso en toda regla y no sólo de una frase escrita en el papel."
"In this respect, I am pleased to see that the Committee on Regional Policy, Transport and Tourism has adopted one of my amendments calling on the Commission to devote a specific chapter in its next report on cohesion to the special case of the most remote regions and, more specifically, to consideration of the impact of the measures shortly to be adopted under new Article 299(2) of the Treaty of Amsterdam.","En este sentido, me alegro de que la Comisión de Política Regional haya adoptado una de mis enmiendas, que pide que la Comisión reserve un capítulo especial de su próximo informe sobre la cohesión al caso particular de la ultraperiferia y, más específicamente, al análisis del impacto de las medidas que se adoptarán próximamente en aplicación del nuevo artículo 299, párrafo 2, del Tratado de Amsterdam.",Todas estas enmiendas pueden aprobarse.
But let me remind honourable Members that the European Union is no slouch when it comes to financial support for the peace process.,"Pero permítanme recordarles, honorables Diputados, que la Comisión Europea no actúa con indolencia cuando ha de prestarse ayuda financiera al proceso de paz.",Las desigualdades regionales aumentan dramáticamente en el seno de los Estados miembros.
